"","name","first_name","last_name","birth_city","birth_state","birth_country","birth_date","college","draft_team","draft_round","draft_pick","draft_year","position","height","weight","death_date","death_city","death_state","death_country","year_start","year_end","careerLength","latitude","longitude"
"12670","Everett Lindsay","Everett","Lindsay","Burlington","IA","USA","9/18/1970","Mississippi","Minnesota Vikings","5th","133rd",1993,"T-G","4-Jun",305,NA,NA,NA,NA,1966,1967,1,36.135688,-95.9199116
"12671","Dale Lindsey","Dale","Lindsey","Bedford","IN","USA","1/18/1943","Kentucky","Cleveland Browns","7th","97th",1965,"LB","2-Jun",223,NA,NA,NA,NA,1966,1967,1,41.3931096,-81.5365094
"12672","Hub Lindsey","Hub","Lindsey","Steubenville","OH","USA","3/17/1945","Wyoming",NA,NA,NA,NA,"RB","11-May",196,NA,NA,NA,NA,1966,1967,1,40.3697905,-80.6339638
"12673","Jim Lindsey","Jim","Lindsey","Caldwell","AR","USA","11/24/1944","Arkansas","Buffalo Bills","2nd","17th",1966,"RB","2-Jun",210,NA,NA,NA,NA,1966,1967,1,40.8398218,-74.2765366
"12675","Menz Lindsey","Menz","Lindsey","Boonville","IN","USA","1897-07-25","Wabash",NA,NA,NA,NA,"BB-QB","6-May",130,"9/20/1961","Evansville","IN",NA,1966,1967,1,39.0089749,-123.3671551
"12676","Steve Lindsey","Steve","Lindsey","Hattiesburg","MS","USA","11/25/1974","Mississippi",NA,NA,NA,NA,"K","1-Jun",185,NA,NA,NA,NA,1966,1967,1,31.3271189,-89.2903392
"12677","Vic Lindskog","Vic","Lindskog","Roundtop","MT","USA","12/3/1914","Stanford","Philadelphia Eagles","2nd","13th",1942,"C","1-Jun",203,"2/28/2003","Fort Worth","TX",NA,1966,1967,1,40.1094506,-76.9275492
"12678","Chris Lindstrom","Chris","Lindstrom","Weymouth","MA","USA","8/3/1960","Boston Univ.","St. Louis Cardinals","8th","205th",1982,"DE","7-Jun",260,NA,NA,NA,NA,1966,1967,1,42.2180724,-70.9410356
"12679","Dave Lindstrom","Dave","Lindstrom","Cambridge","MA","USA","11/16/1954","Boston Univ.","San Diego Chargers","6th","146th",1977,"DE","6-Jun",255,NA,NA,NA,NA,1966,1967,1,52.205337,0.121817
"12680","Bill Line","Bill","Line","San Angelo","TX","USA","8/11/1948","Air Force",NA,NA,NA,NA,"DT","7-Jun",260,NA,NA,NA,NA,1966,1967,1,31.4637723,-100.4370375
"12682","Bob Lingenfelter","Bob","Lingenfelter","Norfolk","NE","USA","9/1/1954","Nebraska","Cleveland Browns","7th","188th",1977,"T-G","7-Jun",277,NA,NA,NA,NA,1966,1967,1,36.8507689,-76.2858726
"12683","Goran Lingmerth","Goran","Lingmerth","Nassjo",NA,"Sweden","11/11/1964","Northern Arizona",NA,NA,NA,NA,"K","8-May",160,NA,NA,NA,NA,1966,1967,1,57.6530355,14.6967247
"12684","Adam Lingner","Adam","Lingner","Indianapolis","IN","USA","11/2/1960","Illinois","Kansas City Chiefs","9th","231st",1983,"C","4-Jun",268,NA,NA,NA,NA,1966,1967,1,39.768403,-86.158068
"12685","Chim Lingrel","Chim","Lingrel","Ridgeway","OH","USA","1899-01-21","Miami (OH)",NA,NA,NA,NA,"WB-HB-FB","2-Jun",200,"3/11/1962","Kenton","OH",NA,1966,1967,1,34.307647,-80.9603643
"12686","Toni Linhart","Toni","Linhart","Donawitz",NA,"Austria","7/24/1942","Austria Technical",NA,NA,NA,NA,"K","Jun-00",178,NA,NA,NA,NA,1966,1967,1,40.7254211,-80.2989703
"12687","Jack Lininger","Jack","Lininger","Van Wert","OH","USA","6/27/1927","Ohio St.","Detroit Lions","21st","202nd",1949,"LB-C","11-May",217,"8/30/2002","Kennesaw","GA",NA,1966,1967,1,40.8694927,-84.5841223
