"","name","first_name","last_name","birth_city","birth_state","birth_country","birth_date","college","draft_team","draft_round","draft_pick","draft_year","position","height","weight","death_date","death_city","death_state","death_country","year_start","year_end","careerLength","latitude","longitude"
"6341","Paul Farren","Paul","Farren","Weymouth","MA","USA","12/24/1960","Boston Univ.","Cleveland Browns","12th","316th",1983,"T-G","5-Jun",272,NA,NA,NA,NA,1971,1974,3,42.2180724,-70.9410356
"6342","Curt Farrier","Curt","Farrier","Yakima","WA","USA","6/25/1941","Montana St.","Kansas City Chiefs","10th","80th",1963,"DT","6-Jun",264,NA,NA,NA,NA,1971,1974,3,46.6020711,-120.5058987
"6343","Bo Farrington","Bo","Farrington","DeWalt","TX","USA","1/18/1936","Prairie View","Chicago Bears","16th","187th",1960,"SE-WR","3-Jun",217,"7/26/1964","Rensselaer","IN",NA,1971,1974,3,36.0895084,-95.8489842
"6344","James Farrior","James","Farrior","Richmond","VA","USA","1/6/1975","Virginia","New York Jets","1st","8th",1997,"LB","2-Jun",242,NA,NA,NA,NA,1971,1974,3,37.5407246,-77.4360481
"6345","Jimmy Farris","Jimmy","Farris","Lewiston","ID","USA","4/13/1978","Montana",NA,NA,NA,NA,"WR","Jun-00",200,NA,NA,NA,NA,1971,1974,3,44.100351,-70.2147764
"6346","John Farris","John","Farris","Kansas City","MO","USA","11/2/1943","San Diego St.","San Diego Chargers","17th","136th",1964,"G","4-Jun",245,NA,NA,NA,NA,1971,1974,3,39.0997265,-94.5785667
"6347","Kris Farris","Kris","Farris","St. Paul","MN","USA","3/26/1977","UCLA","Pittsburgh Steelers","3rd","74th",1999,"T","8-Jun",318,NA,NA,NA,NA,1971,1974,3,44.9537029,-93.0899578
"6348","Tom Farris","Tom","Farris","Casper","WY","USA","9/16/1920","Wisconsin","Green Bay Packers","11th","99th",1942,"QB","1-Jun",185,"11/16/2002","Citrus Heights","CA",NA,1971,1974,3,37.79743,-122.43506
"6349","Heath Farwell","Heath","Farwell","Corona","CA","USA","12/31/1981","San Diego St.",NA,NA,NA,NA,"LB","Jun-00",235,NA,NA,NA,NA,1971,1974,3,33.8752935,-117.5664384
"6350","Brett Faryniarz","Brett","Faryniarz","Carmichael","CA","USA","7/23/1965","San Diego St.",NA,NA,NA,NA,"LB","3-Jun",230,NA,NA,NA,NA,1971,1974,3,38.617127,-121.3282843
"6351","Randy Fasani","Randy","Fasani","Granite City","CA","USA","9/18/1978","Stanford","Carolina Panthers","5th","137th",2002,"QB","3-Jun",234,NA,NA,NA,NA,2002,2002,0,39.2488061,-94.6608176
"6352","Anthony Fasano","Anthony","Fasano","Glen Ridge","NJ","USA","4/20/1984","Notre Dame","Dallas Cowboys","2nd","53rd",2006,"TE","4-Jun",255,NA,NA,NA,NA,2002,2002,0,40.805378,-74.2037566
"6353","Ciatrick Fason","Ciatrick","Fason","Atlanta","GA","USA","10/29/1982","Florida","Minnesota Vikings","4th","112th",2005,"RB","1-Jun",207,NA,NA,NA,NA,2002,2002,0,33.7489954,-84.3879824
"6354","Greg Fassitt","Greg","Fassitt","New Orleans","LA","USA","4/4/1985","Grambling St.",NA,NA,NA,NA,"DB","11-May",186,NA,NA,NA,NA,2002,2002,0,29.9510658,-90.0715323
"6355","Mario Fatafehi","Mario","Fatafehi","Chicago","IL","USA","1/27/1979","Kansas St.","Arizona Cardinals","5th","133rd",2001,"DT","2-Jun",300,NA,NA,NA,NA,2001,2004,3,41.8781136,-87.6297982
"6356","Chuck Faucette","Chuck","Faucette","Levittown","PA","USA","10/7/1963","Maryland","New York Giants","10th","279th",1987,"LB","3-Jun",242,NA,NA,NA,NA,1987,1988,1,40.7259336,-73.5142921
"6358","Kevin Faulk","Kevin","Faulk","Lafayette","LA","USA","6/5/1976","LSU","New England Patriots","2nd","46th",1999,"RB","8-May",202,NA,NA,NA,NA,1987,1988,1,30.2240897,-92.0198427
